"CA1-3 Personal income summary"
"Population (number of persons) 1/" 
"Bureau of Economic Analysis" 
"County"
"18103","Miami, IN",36611
"18105","Monroe, IN",139799
"18107","Montgomery, IN",38441
"18109","Morgan, IN",69464
"18111","Newton, IN",14161
"18113","Noble, IN",47553
"18115","Ohio, IN",6065
"18117","Orange, IN",19969
"18119","Owen, IN",21499
"18121","Parke, IN",17237
"18123","Perry, IN",19354
"18125","Pike, IN",12728
"18127","Porter, IN",165537
"18129","Posey, IN",25720
"18131","Pulaski, IN",13363
"18133","Putnam, IN",37917
"18135","Randolph, IN",26105
"18137","Ripley, IN",28759
"18139","Rush, IN",17287
"18141","St. Joseph, IN",266700
"18143","Scott, IN",23987
"18145","Shelby, IN",44337
"18147","Spencer, IN",20961
"18149","Starke, IN",23199
"18151","Steuben, IN",34028
"18153","Sullivan, IN",21356
"18155","Switzerland, IN",10569
"18157","Tippecanoe, IN",174724
"18159","Tipton, IN",15788
"18161","Union, IN",7513
"18163","Vanderburgh, IN",180305
"18165","Vermillion, IN",16231
"18167","Vigo, IN",108182
"18169","Wabash, IN",32608
"18171","Warren, IN",8431
"18173","Warrick, IN",60275
"18175","Washington, IN",28147
"18177","Wayne, IN",68643
"18179","Wells, IN",27734
"18181","White, IN",24694
"18183","Whitley, IN",33392
"19001","Adair, IA",7527
"19003","Adams, IA",4004
"19005","Allamakee, IA",14274
"19007","Appanoose, IA",12797
"19009","Audubon, IA",6034
"19011","Benton, IA",26092
"19013","Black Hawk, IA",131549
"19015","Boone, IA",26255
"19017","Bremer, IA",24281
"19019","Buchanan, IA",20923
"19021","Buena Vista, IA",20406
"19023","Butler, IA",14939
"19025","Calhoun, IA",9626
"19027","Carroll, IA",20861
"19029","Cass, IA",13817
"19031","Cedar, IA",18400
"19033","Cerro Gordo, IA",43938
"19035","Cherokee, IA",12069
"19037","Chickasaw, IA",12449
"19039","Clarke, IA",9356
"19041","Clay, IA",16590
"19043","Clayton, IA",18014
"19045","Clinton, IA",49015
"19047","Crawford, IA",17277
"19049","Dallas, IA",69444
"19051","Davis, IA",8787
"19053","Decatur, IA",8284
"19055","Delaware, IA",17658
"19057","Des Moines, IA",40169
"19059","Dickinson, IA",16899
"19061","Dubuque, IA",94648
"19063","Emmet, IA",10104
"19065","Fayette, IA",20973
"19067","Floyd, IA",16070
"19069","Franklin, IA",10730
"19071","Fremont, IA",7367
"19073","Greene, IA",9285
"19075","Grundy, IA",12459
"19077","Guthrie, IA",10901
"19079","Hamilton, IA",15538
"19081","Hancock, IA",11287
"19083","Hardin, IA",17426
"19085","Harrison, IA",14828
"19087","Henry, IA",20284
"19089","Howard, IA",9565
"19091","Humboldt, IA",9802
"19093","Ida, IA",7086
"19095","Iowa, IA",16320
"19097","Jackson, IA",19796
"19099","Jasper, IA",36547
"19101","Jefferson, IA",16815
"19103","Johnson, IA",133038
"19105","Jones, IA",20608
"19107","Keokuk, IA",10378
"19109","Kossuth, IA",15396
"19111","Lee, IA",35621
"19113","Linn, IA",213875
"19115","Louisa, IA",11369
"19117","Lucas, IA",8847
"19119","Lyon, IA",11670
"19121","Madison, IA",15779
"19123","Mahaska, IA",22530
"19125","Marion, IA",33335
"19127","Marshall, IA",40980
"19129","Mills, IA",14992
"19131","Mitchell, IA",10783
"19133","Monona, IA",9239
