FIPS ,STATE,COUNTY,Manu_Emp,Govt_Emp,Farm_Emp,Total_Emp,EMP06
28043,MS,Grenada,4008,1672,345,12012,14166
28057,MS,Itawamba,2636,992,616,7211,8803
28069,MS,Kemper,830,657,538,3013,3239
28071,MS,Lafeyette,1969,5062,545,16154,26994
28075,MS,Lauderdale,6014,8431,580,41473,47856
28079,MS,Leake,2199,1178,932,7201,8942
28081,MS,Lee,16161,4428,808,49094,63693
28087,MS,Lowndes,8112,7198,582,35666,35268
28093,MS,Marshall,1902,1433,867,8727,10150
28095,MS,Monroe,6749,1841,793,16278,15135
28097,MS,Montgomery,965,800,427,4568,4196
28099,MS,Neshoba,2997,2923,969,11784,18841
28103,MS,Noxubee,967,754,689,4205,4870
28105,MS,Oktibbeha,2481,7485,553,18282,26148
28107,MS,Panola,4215,2216,1042,13710,15910
28115,MS,Pontotoc,5631,917,796,10881,16511
28117,MS,Prentiss,4395,1447,537,10520,10302
28119,MS,Quitman,526,695,626,3405,2876
28135,MS,Tallahatchie,570,989,1013,4627,5068
28137,MS,Tate,2123,1326,843,8548,9685
28139,MS,Tippah,3862,1153,739,9726,10153
28141,MS,Tishomingo,2778,870,371,7628,7842
28143,MS,Tunica,494,472,707,3073,17194
28145,MS,Union,3848,1083,795,9913,12196
28155,MS,Webster,1566,639,420,4258,3529
28159,MS,Winston,2996,1166,674,8389,8296
28161,MS,Yalobusha,1685,892,404,4882,4714
36001, NY,Albany,13607,78619,603,258344,275280
36003, NY,Allegany,3573,3832,1088,19901,21013
36007, NY,Broome,28889,18621,811,124460,118182
36009, NY,Cattaraugus,8505,6993,1662,40035,41723
36011, NY,Cayuga,4328,5752,1722,32540,36526
36013, NY,Chautauqua,15397,10521,2890,71420,71951
36015, NY,Chemung,8911,7274,480,48549,48641
36017, NY,Chenango,5060,3924,1462,23139,24166
36023, NY,Cortland,5921,3917,1041,25475,25003
36025, NY,Delaware,5215,4322,1373,23756,28283
36029, NY,Erie,77164,77693,2185,535136,555385
36039, NY,Greene,982,3625,410,17057,20524
36043, NY,Herkimer,5513,4791,1165,24575,25223
36051, NY,Livingston,2959,6292,1364,25513,29479
36053, NY,Madison,2695,4971,1430,27078,31340
36057, NY,Montgomery,5703,3173,1061,23655,23852
36065, NY,Oneida,18599,30517,1914,132974,136605
36067, NY,Onondaga,42373,39750,1377,305811,306131
36069, NY,Ontario,7576,7451,1438,49235,65951
36071, NY,Orange,14562,31439,1775,138917,178190
36077, NY,Otsego,1837,4539,1602,28966,31274
36093, NY,Schenectady,11826,10045,314,79831,75226
36095, NY,Schoharie,781,2558,882,10909,13140
36097, NY,Schuyler,994,1113,517,6480,9073
36099, NY,Seneca,2583,4287,707,14584,16477
36101, NY,Steuben,13207,7872,2194,47921,48153
36105, NY,Sullivan,1170,5982,593,32122,36072
36107, NY,Tioga,5975,2629,900,18991,19766
36109, NY,Tompkins,4479,5813,915,60935,66913
36111, NY,Ulster,13176,12470,1244,77958,87300
36121, NY,Wyoming,2861,4088,1653,16695,18345
36123, NY,Yates,594,1015,965,7823,9072
37003,NC,Alexander,6148,1137,761,13427,16214
37005,NC,Alleghany,1289,690,797,5391,6238
37009,NC,Ashe,3241,1006,1366,11177,14372
37011,NC,Avery,874,923,437,8495,12666
37021,NC,Buncombe,21420,13879,1666,110134,154616
37023,NC,Burke,18648,7360,535,43445,52064
