Per capita personal income 2/,FIPS,AreaName,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
3,2060,"Bristol Bay Borough, AK",5972,7441,8188,8881,11052,11676,13767,17172,15673,17994,21345,22144,19661,21432,20981,23236,24356,26730,23970,24991,28919,33073,34041,31771,28526,37176,37726,33293,32505,29949,29753,34628,37469,38506,37283,38707,41623,45309,49046,53630
3,2068,"Denali Borough, AK",(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,18965,20201,23646,23213,24979,26526,28502,31400,38011,37738,40734,39346,39932,42178,46893,50246,52048,53131
3,2070,"Dillingham Census Area, AK",(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,8850,11008,12456,12668,12858,12238,15537,15755,14850,17903,17579,17471,21716,21509,21244,21597,22273,22572,23741,24464,25031,26917,27341,27612,29097,30280,31341,32598,34347,37377
3,2090,"Fairbanks North Star Borough, AK",4844,5152,5256,5615,6008,8542,15111,14956,13333,12653,13079,14466,15816,18944,18436,18887,19258,18160,17964,17924,19119,19643,20089,21047,21748,21885,23164,23500,24661,25535,26246,28424,28448,29275,29648,30271,32269,34885,36105,38969
3,2100,"Haines Borough, AK",(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,10717,13311,14287,17160,15944,17672,18037,23920,27427,30964,32448,26130,25191,25352,26647,26874,27712,28658,29067,29717,30552,33223,35543,36621,36738,40949,43062,45619,49084,52887
3,2105,"Hoonah-Angoon Census Area, AK",(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,38066
3,2110,"Juneau City and Borough, AK",6105,6936,7512,8126,8583,9379,11456,13035,13895,15830,16331,19383,21537,22348,22427,22850,23112,22143,22662,23912,25750,26532,27514,28782,29199,30552,31775,32024,32589,33121,33191,35767,36483,36100,36473,37647,40421,43062,46011,48435
3,2122,"Kenai Peninsula Borough, AK",(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,13207,14368,15408,17379,16700,16994,18750,17267,16488,17873,20777,21347,21515,21698,22883,23539,24210,24127,24908,25240,25509,28866,29633,29885,29536,30826,32223,34341,36806,39986
3,2130,"Ketchikan Gateway Borough, AK",4556,5082,5489,6364,7700,8578,8715,10499,11298,12442,14117,16527,15953,17900,17790,17990,20227,21656,22235,23192,25060,27940,27699,27999,29542,30259,31554,31511,31696,31852,32290,35338,37395,37818,38727,40411,43211,44550,48380,52030
3,2150,"Kodiak Island Borough, AK",4230,5228,5840,5753,8361,10180,11215,12754,12107,13771,15353,16376,13529,15882,17198,15395,16374,16954,18154,20834,23538,21465,20819,20802,21250,21526,22483,23071,24183,24780,25636,27328,27707,28783,30056,31791,33969,35860,38733,41617
3,2164,"Lake and Peninsula Borough, AK",(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,14695,15316,16514,16290,16891,17016,17204,17686,19634,22168,25227,26086,27391,28006,27286,30224,33132,36665
3,2170,"Matanuska-Susitna Borough, AK",4284,4837,5343,5918,6411,8090,10577,12227,12955,12878,12296,12695,15550,17844,17850,16919,15479,14294,13516,13678,15132,19184,19805,20106,21213,22359,22679,23062,23406,24590,24735,26579,28428,29529,29460,30484,32209,33673,35969,38657
3,2180,"Nome Census Area, AK",2829,2700,3073,3412,5611,5163,6539,7593,7419,7668,8274,9428,10531,12011,12191,12611,13482,12989,13709,13656,14493,15369,15805,16670,17525,18395,19194,19405,20278,20331,20871,21765,22843,24590,25446,26344,27593,28263,29850,33254
3,2185,"North Slope Borough, AK",(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,18525,20007,24303,25837,23242,27641,26484,23774,24690,23837,27119,24326,24537,23502,26037,27654,28373,27812,27234,27962,27325,29709,35653,35767,37382,40987,44222,50954,58610,66664
3,2188,"Northwest Arctic Borough, AK",2159,2451,2792,3382,5448,5026,5981,6328,7350,7493,7416,9011,11259,12399,11893,12413,12958,12784,12579,13020,13843,15520,15694,16515,17629,18047,18505,18799,19991,20905,20663,22658,24673,24932,25290,25231,27182,27708,28922,31168
3,2201,"Prince of Wales-Outer Ketchikan Census Area, AK",(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,9535,11990,12142,13683,12883,12767,13316,14342,14196,15095,16558,18425,17213,17742,18308,18224,18734,17945,19203,19485,20582,21589,20626,21267,21917,22842,23838,23783,25496,28359
